,content,sentiment
6783,Yorks V Lancs on the telly. Not going too well for Yorkshire.,worry
6784,@flashlight Hah! Just wait till you turn 40,sadness
6785,Pissing annoying date stamp on all my pictures. Wish I'd remembered to turn it off.,worry
6786,Thinking about opening MacMaze sources as I don't have time to work on it anymore,worry
6787,@fmpug doh! I'm out of town so I can't get my results from the mail,worry
6788,I ruined my lunch by eating half a bag of cheddar popcorn....now I feel sick.,worry
6790,I wish pitchfork would shutup about #primavera.  Makes me miss spain,worry
6791,office hours/trying to make my computer feel better.,worry
6792,At work sick  but I'm ok to the mall!,worry
6794,"Thinking about Con Law, fighting a headache, &amp; Paying bills...",worry
6795,saying goodbye to @jesshowe for a year  she's been awesome in helping me fit into the team at Veritas!,sadness
6796,Yeah. It's sad.,worry
6798,@cheesetal i miss coffee,sadness
6799,"@yikes77 It would be great if those VIPS were for some acts I'd enjoy seeing, but noooo.",happiness
6801,going to the doctors,worry
6802,@bowwow614 Hey! Is it going to be viewable in the UK this time?  It broke my heart when I couldn't play the last one  haha.,sadness
6803,"@ESPNCommunityEd Don't forget Nash, how disappointing as a Suns fan",sadness
6804,Ugh. Another &quot;what day is it today?&quot; (5 most uttered words last 2 weeks for me) - Missed a 10 yr old birthday &amp; it was even on my iCal.,surprise
6805,"Truck has bit the dust, don't know if I'll make the Mustangs game tomorrow",worry
6806,i feel some type of way cause im not talkin to anyone...,sadness
6807,my whole back is burnt from tanning. ouch,worry
6808,needs a job,worry
6809,im hungry.due to last night's dinner..or lack there of.. someone take care of me,worry
6810,@netmogul that sounds soooo good right now mmmm malasadas. i have to have more before i leave today,happiness
6811,"Yea, someone is getting the best of me.",surprise
6812,I think I'm gonna try to go vegetarian again....and no soda and majorly cutback on beer...too many carbs....but its so yummyyy,sadness
6813,Goodbye sex in the city  let me hurry and give mi cuz that paper work @lailashah !!! Have 2 have summer in BK !!!,happiness
6814,my trousers are damp.,worry
6815,Cops tell #Tori's Dad they may never find her remains  http://lfpress.ca/newsstand,surprise
6816,@NormaBecerra the washer se chingo  ha  ha!! I'm busting my grandma lucia waaaaay back in the early 90's lol,happiness
6818,"@My3Daughters well it sounds delicious! i'll be laying out on my patio tom, sans pool!  Enjoy your burgers!!",happiness
6819,@Champion1510 yeah... and neither of them are in huntsville   i would so quit both of my jobs here for one job there.,sadness
6820,@YSLaurenT me too,sadness
6821,also just hanging right now?? just bored hahaha didn't have to work again today this is different....  no hours no money lol whatev,worry
6822,Found out that a schoolmate died of an heart attack this morning. He was barely 35  will miss u bally!,surprise
6823,"@theemptynest  I've had that before...sometimes, they turn into other things; felt is very forgiving. Remould? Cut up and re-form?",sadness
6824,@eeks_ I wish you were here NOWWW!!! grrrrrrr,sadness
6825,hi guys just doing da usael notmuch really! &lt;3 sad me,sadness
6826,@jazzjeet haha you would do that =P that's cute. nobody ever comes to visit me  god damn lake geneva and how far it is from civilizati ...,love
6827,Trying to figure out how to use Twitter.......I'm old,worry
6828,Next weeks dlc is fail  Can't wait for Maiden in two weeks though ;),worry
6829,"@julnas But then you might end up like that poor bus driver...  And, this is kinda weird, but I wish I was there today! :o",sadness
6830,@xbooernsx I am so jealous. I want a free hamburger,sadness
6831,im still melting and im in the house in the shade  its not fair.,surprise
6832,Okay.. so someone has my keys or they are -really- good at this &quot;hide from James&quot; game.,surprise
6833,Ok... No one was interested in my special.   Now the popcorn is stale! What a waste. I'm going to find a homeless person to give it to ...,worry
6834,@sunflower_seeds dude don't say that,sadness
6835,Woke up early!! Dang man I know i'm not going back to sleep,surprise
6836,needs more followers,sadness
6837,Grr...Fatboy Slim is out of the EDC Lineup.,sadness
6838,i have a empty house and no ine to share it with,sadness
6839,"@reactiveretro yeah i agree, he was the best! aww why did he leeaave??",sadness
6840,@Ohmahlanta Esther does not want to deal!,sadness
6842,I'm siiiiiickkk  I dun feel good!!,worry
6844,@AngelaRyan jet blue is okay I guess. They cancel flights and don't have a lot of backup planes. And no first class,worry
6845,"Field day over. Lots of great action fotos. Ate lunch, need 2 showr, tidy hse, get ready 4 stamp club. Btw Mexican skin got 2 tan 2day",love
6847,In checkout line...kate &amp; jon splashed all over us weekly. sad,sadness
6848,@lilvanillafrop that's not funny,sadness
6849,"@t0astbandit eesh, sorry to hear that. That isn't going to make travel to Michigan very fun.",worry
6850,"I need some motivation in my life, oh and some love would be nice too",sadness
6851,Meeting my best friend first thing in the morning to the gym! Omg I am still so shocked. I hope you will get better soon,worry
6852,"@SquireX6 harrump gagging for beer, noone wants to play",worry
6853,soooo sunburnt  my mum was out earlier so i had to wait for her to get in and fell asleep on the trampoline for 2 hours in the sun (U),worry
6854,just watching hollyoaks omg,surprise
6855,Getting ready for work... think I'm catching a cold  yay!! Now I gotta pull a 9 hour shift... holla at ya sometime tomorrow.. peace,worry
6856,@thisislivestyle man yes BrOoKlYn goes hard but longstory short have 2 get comfy in windy !!!,worry
6857,UGH BUT I N33D T0G0 BAD..,worry
6858,bye bye South Beach....u never let me down,sadness
6860,#Vancouver gets tough with slum landlords..ew backed up sewage   http://bit.ly/16UrvV http://bit.ly/16UrvV,worry
6861,r @njsharkman  that squeeze bacon looks like poop,sadness
6862,http://twitpic.com/670ar - this is post guitar hero ass kicking,happiness
6863,becoz of leg sprain nta ble to do proper wrkouts. Worried shud dis hapen wen i satrted dieting...,worry
6864,@theyjusthowl,worry
6865,Well that's the last of the Fabs gone,sadness
6866,Hi everybody! Sorry for the long listening. Iwas too busy.,worry
6867,"@NeilDavidson happened about three weeks ago. Why, is there a serial card fraudster on the loose?",happiness
6868,*eekkk* back to work,sadness
6869,@channilein It didn't start as a long message ... It just got longer when I wrote it,surprise
6870,Sitting at valley ....my hummer has a boo boo,worry
6871,I want to hang out and play!  But I can't.  Fiddle Faddle on my workload!,sadness
6872,@Beadz2Pleaz I think that's what's wrong with me.  Stuffed up and when I breathe in it feels like a sore throat,worry
6873,"Gosh I miss singer's theater.  I miss learning music, doing acting exercises, n I ESPECIALLY miss being onstage.",sadness
6874,Oh noes! The TV is broken  No red standby light or anything... checked the plug fuse... now to the inside,worry
6875,@SoulAfrodisiac I feel you on that one....I moved recently and now the nearest @wholefoods is an hour away,sadness
6876,@babyblueonline omg I'm so sorry to hear that!  If you really need to talk to someone I'm always on here. I'm a shoulder you lean on,love
6877,@calamitylill Can you send out letters/emails to clients to remind them you're there?,surprise
6879,I miss having nothing to do except lay out beside the pool every day of the summer.  That was much better than spending all day in class.,love
6880,"@Kenzielee_ Oh god, yeah! I forgot about that",love
6881,It's gonna suck being the only sober one tonight,sadness
6882,@theNetImp yeah... it's gonna be a long while for me.,sadness
6884,HR says ca is taking more tax out of my checks.,sadness
6885,I spent an hour this morning going through yearbooks to see when each senior started to Harleton. My speech will be so boring.,surprise
6887,got FOXY_ a new brew buddy now my kitchen is gonna smell,worry
6889,@AmyDeWitt I'm sorry you're not having the best day - neither am I though  Are you working tonight??,worry
6890,Feeling bad for @taylorshockley profile pic,sadness
6891,I'm half awake in my comm theory section... Wahhhh! I want my bed...,worry
6892,"@itstrizunigs actually, the web works fine. tweetdeck seems to be the culprit  sadness! it's done this at two diff. locations",sadness
6893,is enjoying the nice weather but has been stuck indoors writing an essay for most of it,happiness
6895,@matty500 Congratulations! I wish I could be there to see it happen.,happiness
6896,"hate working when its sunny,boohoo",sadness
6897,Dilated pupils suck. The computer screen hurts my eyes so I won't be on the comp for a while.,worry
6899,@reggaeluv2000 haha it's great. but i slept horribly last night.,worry
6902,I saw a squirrel get hit by a car while walking to bart this morning...wondering if there was anything I could have done.,worry
6903,been shoppin all day and got a headache (which i still have) i got 1 boyfriend style shirt and didnt find a new bracelet 2 wear,worry
6904,@tacoman667 Not available in my area  I would too,worry
6905,Dads should ask their 22 year old sons before drinking.,worry
6907,@MDHOLLA Sharing #ff with my twitter fam. I won't be on too much longer got a real busy day. I can't twitter from my phone,worry
6908,@shakes1327 Sadly no robot songs in my library.,sadness
6909,"I've been really tough, but it still sucks to live 5000 miles away from your family when you crave for Korean homemade meal.",worry
6910,"I want to go outside and play in the sunshine, but I have to sit in front of a computer all day   At least I can have lunch on the patio!",surprise
6912,I just got busted by the owner of our company playing with a squishy ball at my desk...he asked if I needed more work to keep busy,worry
6913,"No running for the past couple of days due to bad knee   Still, Guitar Hero Metallica arrived and has kept me amused...Time to ROCK!!!",sadness
6914,@charlieskies  that is actually a better name than fluffballthegodzilla (my youtube username).  ive been beaten,sadness
6915,http://tinyurl.com/ry9wap Hi!!! You are pretty man... I cant upload more pics here for some reason  You wrote you wish to find a women ...,surprise
6916,i want so bad to go to the mcfly's concert,sadness
6917,Cleaning + finding stuff to sell. I'm so poor.,worry
6918,sleeping in was interupted by JACK-HAMMERS at 9am Damn! Universe says GET UP! But I was up intil 3am 'cause I thougth I'd be sleeping in,surprise
6920,My heart has been beating irregularly ever since last night. I don't want to explode or implode,worry
6921,"Just hit the 3000 word mark for his Geography Notes, and I'm not even doing it for GCSE? Mean while I've done a page of history",worry
6922,why nobody write with me ? !,sadness
6923,#hollyoaks .... The curse of justin strikes again.... Date the burton and end up screwed  poor sod,sadness
6925,family are home doesnt seem like they missed me at all tbh,worry
6926,@joshuardean you are on mii shit list...Permanent mii dude,sadness
6927,I forgot to charge my cell last night and now it's dead,worry
6928,has dislocated her knee  *bad/painful times* gas + air and morphine are fun though,worry
6929,I'm still waiting to find out what #caca stands for - hoping it's not what I think it is since you #follow me for #caca.,worry
6930,I wanna longboard but it's raining ughhhhhh,worry
6931,shopping! Migawd. i don't want to surf the net anymore.,love
6932,@LolliroyAngel yep im very jelous too  id love to be in miley position haha x,love
6933,@MiiZxP ohhh wowwww no good,worry
6934,Oh no! I used my internal sig for an external e-mail  damn. #fb,sadness
6935,@Col_RFTL Think @PembsDave must have blocked me as not heard a Tweet from him for a while,worry
6936,@Mig177 its what i say why!!!! k4ge last day at the job today  we wont be saying him around anymore,sadness
6937,I need to stop being sick.,sadness
6940,"@Carmnx Aawh, that; s too bad",surprise
6941,I do NOT feel good today,worry
6942,translating my topic &quot;quadratic congruences&quot; for my tutorial in elementary number theory  I have to do this tutorial OMG,worry
6943,@thesehazeleyz  if you need to talk or vent let me know,worry
6944,@nick_carter  we can't see the video it's private,surprise
6945,http://twitpic.com/670rw - i miss my puppy,sadness
6946,@2TuffDC i dunno what i'm gonna do. i love my skinny jeans!,love
6947,"I wanna go, I wanna go!!!! but I can't",love
6948,YES I AM GOING TO BE A SOPHMORE IN COLLEGE. Geez. Cant get a job cause everyone thinks im fifteen.,worry
6950,"@AnditisLiz Hey Hey!! I got this custom designed, one of a kind Superfresh T over here with somebodies name on it collecting dust",worry
6951,got caught in the rain outside. now im cold bbbbrrrrrrrrr,surprise
6952,"@pitbull_fan76 ROFL!  THAT'S my problem, only two hands",worry
6953,@SuprnaturlShana but he looks so much better with short hair,sadness
6954,wow! Leonardo DiCaprio and Jennifer Davisson Killoran are the producers  of the movie: ORPHAN  !! i have direct contact info for them too!,surprise
6955,ah remember the days when you'd sleep in until noon? well guess who did that today? god i feel like a loser,sadness
6956,sore throat and a headache starting on a friday is not a good sign,worry
6957,Summer makes me feel ugly  all the pretty people are out showin off their good genes  damn them to hell!!!,worry
6958,feeling the need for more advil.,worry
6959,"@WeeWifie1981 lol, we are staying in, Craig got footy, so Molly and me missing all the good weather, we have no buggy either.",sadness
6960,Watchin Hollyoaks...poor Justin!,worry
6962,"@Ariel_Meir ohhhh ouch dude, I got it now I was drunk last night and didn't get the context. Sorry dude.",worry
6963,got caught in the rain outside. now im cold bbbrrr,sadness
6964,@StylistaMunchee I lluuvv u too..  ahhh im gonna miss u evenn moreee! lol,love
6965,goodbye picnic for a classmate today  but the weather was fucking beautifuul!!!,sadness
6967,School Over!!! I'm gonna miss a bunch of people,sadness
6968,"Dana just found out she doesn't get to take lunch now, but rather in an hour. Hello delivery.  http://plurk.com/p/x29ss",worry
6969,"can't wait to watch the Tonight Show, this evening last one with Jay",love
6970,@DavidSadof I'm not sure about this tweet business  Why are the simple things so difficult?,worry
6971,My car is home. Yay! $613.22 Boo!  I'm paying my mom in installments. I gave her $200 today. I so need to win the lottery. :\,happiness
6972,"@gnimsh forgot to answer your kindle question yesterday. honestly, haven't used it much. have two paperback books i want 2 read first.",happiness
6974,nataliaflewell  hey all so bored and in pain .. anyway god is my love life ever screwd,worry
6975,1st day of work today was a bit tiring but ok lol now onto college work,worry
6976,"@jesshartley Oh, don't hurt yourself!!",worry
6977,Did yall know a kid drowned after trying to swim to the bottom of the ocean in order to find sponge bobs pineapple house? rofl sowy,surprise
6978,"I've got sunburn on my arm  In better news, my new Guitar Hero: Metallica game came and I beyond happy about that.",sadness
6980,@dekhmcclelland One's gone to my husband who's going alone  Other I might just leave at box office under a random name for anyone...,worry
6981,I'm missing everything at work  I want pix of @ipinklemonade !!,sadness
6984,OMG i just realised while listening to &quot;perfect story&quot; penny liked dr horrible!!! damn you captain hammer!  omg im so sad now!,sadness
6987,"@MistressJett Ouch, I'm sorry then",worry
6988,@MissCalderon that was horrible. I didnt ask u to. But u didn't have to laugh about it.  it hurt a little inside here *pints toward heart*,worry
6989,is on the road now! with 7 hours ahead and a beautiful girl behind,worry
6990,"Schools out, but works in",sadness
6991,@thehottestboys  i think its like 1million degrees here &lt;3,worry
6992,"Sad that our neighbors just cut down ALL the trees around their house! It looked so pretty before, and they seemed healthy.  Tragic.",worry
6993,I don't think my friends like me anymore  (via #zenjar ),worry
6994,@tursiops718 Ohnoes!   That's icky!,surprise
6995,My throat hurts,worry
6996,@paulineee: I know!! Im so excited. We cant go earlierrr than the afternoon?  I love you tooz &lt;3,love
6997,Last business day of the month is the wrong time to get new tags. About 45 people,sadness
6998,class is almostt over,worry
6999,wishing technology wasn't so complicated,worry
7000,Running around doing errands on my last day in Charlotte  I would much rather be shopping!!,surprise
7001,@ferretprincess are you having any problems sending images from Twitterberry  mine just doesn't want to work ! Xxx,worry
7003,Warren and Hannah are dead ... oh my godd!! Seriousslyyy this is a tragidy !,surprise
7004,Anyone have a Super Nintendo Controller they want to sell me? Mine broke.,love
7005,Looking for a new laptop battery. Why are they so expensive??,worry
7006,@cdlstatus are you guys dead again?  I can't load it up,worry
7009,"@hypernyck if i can get a ticket, but the pickings are lookin slim soo prob not",sadness
7010,Heading to work - on my Friday off.,sadness
7011,@me_chiel Well...I would love to have a Zoo! ;P Dont think I can be there sunday.  But sometime I will !I want to!,happiness
7012,@renay How come?,worry
7013,Is on the couch hungover--don't expect much out of me today,sadness
7014,@Jtabzz Sorrry  I'm ready to leave.,worry
7015,"@ederyn Just bad day. T_____T Gyah. No car, baby-client is teething and miserable, I forgot to pack a lunch, and I has to get a new car.",sadness
7016,Flash lost my frisby on a roof. Sad days LOL,sadness
7017,"Thought I'd check out home, that was 10 minutes ago, downloading update, now home square....that's why I can't be bothered with it Sony",surprise
7020,My aim is not working due to network problems,worry
7021,i'm still here in the office...and the sun is shining,sadness
7022,"Being tall has its ups and downs , my legs are in pain",worry
7023,"@stephaniejack Geez sorry to hear Steph, I hope things improve soon. I know that ain't much sorry",worry
7024,Such a beautiful day...wish my bike hadn't been run over by a car - hit and run.   #bikeTO,worry
7025,oh my gosh!!! hollyoaks was so sad tonite,sadness
7026,:O Can't believe Hannahs dead in Hollyoaks!!,surprise
7027,Way to many people were crying at the school picnic and now I have to decide if I want to go back or go to public. I'm confused and sad,sadness
7028,poor baby girl chloe is freaking out because of all of the noise!  She so cute and pitiful hiding under the middle of the table!,worry
7030,i bit my tongue sooo bad...it's swollen.,sadness
7031,@AlexisTai please don't roll your eyes. I can't handle that.  *cries*,sadness
7032,"@pattyxxcore I don't know, ask Carolyn. Also, we won't have the boxes empty by the time you get off.",worry
7033,mcfly anit been on here in ages  z,sadness
7034,ugh back in reno,worry
7035,I'm slightly disturbed by Hollyoaks tonight.  I really don't think it's something that should have been shown at 6.30pm...,worry
7036,"@JeffSays yeah, precisely what I was thinking",worry
7037,Working during graduation. What a shame.,sadness
7038,i waited too long to buy pink tickets!  now we're going to be in nose bleed!!  how sad  we're taking binoculars...,worry
7039,just spent an hour trying to get the newborn bird in my front garden to fly. poor baby  no success!,worry
7040,@ruby_may http://tinyurl.com/n23akq &lt; that! its so cute and currently has ymas pumping full blast ! i dont know what to revise for comms,surprise
7041,Omg. That's all I can say,surprise
7042,"argh, i don't feel too good",worry
7044,"SPGridView is looking prettier, but I'm pretty sure my code is very ugly.",sadness
7045,is feeling the effects of spring. My sinuses are killing me,sadness
7046,My tomato soup tastes like red peppers,worry
7047,Soo sad my McMcBuddy thinks I look like I could have a little rainbow  ... I like burritos ok! BURRITOS!!!,sadness
7048,"@lisajcopen Sorry you are having a bad week. I feel like if I could get good sleep, I would be so much better too. Fog",worry
7049,"LONELY, I AM SO LONELYYYY ... @fempi plz come back",worry
7050,"@88brit06 def see ya tonight, we must get some RN photo's, I didn't get any yesterday  lol! And thanks for doing so, please don't forget!",surprise
7051,@knightedbishop endodontist should be able to do it without removing it. Just hope my ceramic crown doesn't shatter some time later,worry
7052,why is it still raining?!  at least i have cute rainboots,surprise
7053,"The sun just came out!!! Pray for me guys!!!  Writing skills test   No pass, no class, no graduate -.-",worry
7055,No one loves me  Brittany forgot my flowers...,sadness
7056,@austincarlile I'm sad.  I want to go to the sd zoo. say hi to the giraffes and elephants and polar bears for me!,sadness
7057,@icklemonkey My Photoshop won't let me save anything  Due to a disk error. The blend took me 1.5 hours!,worry
7059,really not feelin well...,sadness
7060,@McDayDreamer some..and some not  only my 2 best friends go to the same school..the others change schools.,sadness
7061,out with dad to see up.  sad that mom cannot come,worry
7062,"@orbitaldiamonds awww bb, you sound lonely  I want to drive up there/fly and snuggle you too",love
7063,i think june gloom has arrived,sadness
7064,@katarinasmama it was WAY too fast,surprise
7065,Wheres my phone ?!,worry
7066,Homey missed da bus.,worry
7067,@letsocietydream I think i would die if they played Pushit. I missed them when they came last time. When Isis toured with them,worry
7068,@heathervescent sorry didn't get to see you,worry
7069,@sheszladii  LOL! Girl that video disturbed me  and I love the hk theme too cute!,happiness
7070,woke up to boxes to the ceiling and now he can't find his yerba mate or coffee beans.,worry
7072,some advice for all of you: dont pressure wash your foot. it hurts and is not worth it. you really do want the skin on your foot. FYI. ow,sadness
7073,"feel like a junkie  i live in chronic pain disorder with fentanyl an morphin, that is not nice... it really sucks",worry
7074,"@ClaytonCalhoon I know, huh?",surprise
7075,"@angelabc hi angela, can you check your email? I need one thing from you (sorry if it's your day off  )",worry
7076,Can today go any slower? Time is just dragging by.,sadness
7077,"@itsaimee sorry, that's probably my fault.",worry
7078,"Urghh, I'm gonna do my project now  don't wanna waste valuable weekend time",sadness
7079,@CuteRain following 865 and followers 539...not nice,sadness
7080,@LCPromotions  I doubt it! Boo! You always leave me behind on your awesome roadtrips!,sadness
7081,@mileycyrus http://twitpic.com/5ut6j - Poor Thing,worry
7082,@SilveryBeing  *hug*,love
7083,"So has anyone had that yucky new throwback pepsi and mountain dew yet? If they plan on keeping it around, I will not be drinking it!",sadness
7084,shoutout to @denzelburks we're both starvin like homeless cambodian kids  lmao,worry
7085,"@Maestro so I wanted to DM you back but I couldn't cuz your not following me  but thankss anyways, maybe ill see ya around in ELLE-AY  ...",sadness
7086,@imreallydope your phone isn't working!,worry
7087,just ran some ACCELA unit tests for the first time in about 2 years... and they failed,worry
7088,"@torreyryan Yeah, I thought that was very little warning for you guys.   I don't miss 12-9 shifts 6 days/wk with no break, that's for sure",worry
7089,@CraigN No surprise there. They probably don't know themselves where it is,surprise
7090,"@nick_carter It says &quot;This video is private.&quot;, WTF????",surprise
7091,is sad because his tea and oatmeal are cold,sadness
7092,@abhorrentbm lame. you should have said hello!,surprise
7093,@vronmcintyre I want an espresso machine,worry
7094,@HighRawFoods I am sorry.,worry
7096,@bernadinee thank for ur gnite and... *thank* for ur photo of sims 3... heart broken here,worry
7097,@detrick Hey! So glad it's Friday but not happy that I just ate a bad apple,happiness
7098,Finished new moon! Woo! Now i want the next one...,happiness
7099,Been sitting in garden with my mummy and also got a text from the boy who i thought had GOT THE HINT    obviously not.,happiness
7100,@bcran we'll see Craig might just hog u guys! haha I work till 10 tonight anyways,worry
7101,Just saw half the RRO staff walk by...sadly I didn't see @legmar or @mtacheme,worry
7102,Im sad right now becuz of my lady,sadness
7103,http://bit.ly/NYhMZ  Dionusia made me do it,happiness
7104,wants to goto lonovala for frenz wedding....bt....no transport arrngmnts wrkg out,sadness
7105,@niftybitch time to leave a passive agressive note to the owners.  It's not the dog's fault... it's their shitty owners,worry
7106,will be lonely for 4 days because @trizia will be in baguio.   http://plurk.com/p/x2apl,sadness
7107,"Yolonda, I went swimming with my phone at the beach lol and so I lost all my contacts",surprise
7108,@chantelmybell  that's no bueno...hope u feel better!,worry
7109,so....i'm guessing no BGN?,surprise
7110,Feeling like the bum of this recession.  Don't try to call or text me.,worry
7112,@XxMolliexX I mean someone hit a dog with a car. It was just laying there,worry
7113,"Nice to come out of a business meeting feeling desired &amp; valuable. Now, to come out of a date like that..! (Or, to go on a date at all..)",worry
7115,So much for buying that awesome new phone from sony ericsson  - I am now Berry'd like everyone else...,happiness
7117,"@jaymckenney gosh, I'm sorry man.  I'll hope for good news.",worry
7118,Trying to stay upbeat while I wait to get my keys out of my locked car,worry
7119,@CaroTheNyx aww im sorry im home now hope your ok  i love ya wifey &lt;3 xx,sadness
7121,Running around town with Kathleen....she's leaving me for a month..,sadness
7122,Got insurance forms for Polo. Feel a bit  Has to be done though.,worry
7123,@mommypages I wish our @COSICols didn't close,worry
7124,just got home from doing the big shop totally munched out because i was so starving and im at weigh in in the morning oops,worry
7125,its impossible to watch in full ANY flash video with my mac after 5.7,sadness
7126,such.a.tease.,happiness
7127,"really ill again not been well for 2 weeks, i've got a bad viral infection.",worry
7128,Dollhouse was saved!!! Its coming back for another season!!! Too bad scrubs isn't,happiness
7129,Loves using remote access to use my desktop from my laptop.  -- Back from Emerge once again.,love
7130,Going to tmobile  i need a new phone this G1 is so not working for me anymore,worry
7131,"@ChristinaHz no wayyy, that's too funny.  well he sure is missing out, but ever since you left, i feel i am too  when is your next visit?",love
7132,"@TeelaJBrown i know, i was on the list, but had to miss out b/c of conflicting plans  how did it go?",sadness
7133,is incredibly worried about Stanley...,worry
7135,"ha ha...just found a new cocktail: Dances with Wenches (Cranberry Juice, Spiced Rum), sounds nice but I don't have any cranberry juice",surprise
7136,i thnk ima cry i feel rlly bad,worry
7137,watching the final episode of boys before flowers,sadness
7138,@ashmohazel @immackmaine @its_erincharde @brando2711 hey you guys should invite me out...moody is my only friend these days,surprise
7139,I'm being held captive on my day of freedom.,love
7140,Hey #socialmediatv ugh no way to do video&gt;blah {pouts}   (Social Media TV live &gt; http://ustre.am/2NjV),sadness
7141,is pumped and bummed all at the same time.......,sadness
7142,Tonight the last night of Jay Leno!!!  am gonna cry like a baby!!,sadness
7144,is missing someone.. haayy..  http://plurk.com/p/x2avn,worry
7145,"@fishieee Haha, it'll be gross by the time it comes back.    Tell you what .. we'll Yum! Vancouver some malay spot soon, or just go indian",happiness
7146,I dnt get to go play lasertag w/ my besties!     *old me's dead and gone*,surprise
7147,@lancearmstrong I want a massage!!!,happiness
7148,Bloody sunburned,worry
7149,@jclayville // i feel your pain. i once lived in an apt for 6 mos where the previous tenant had 4 cats. burning eyes/tight lungs =  gregg,sadness
7150,@fletchernet i help represent high profile actors for their tv/film/theatre careers so get free tix.. but not for Jersey Boys..,surprise
7151,"@dan87 where have you been, child? i miss you, we haven't msned in days!",sadness
7152,oh no. opera 10 is not google friendly  *weeps*,worry
7153,Starting to spoil my pug since her brother Max passed away on Tuesday. We miss him.,worry
7154,@Caroljs Warren has just died.. hannah has been killed.. and I'm gutted!!! I love warren (even if he is nasty!!),love
7156,@jennytornado DAMN IT! I want to see that movie sooo bad.  Don't tell me anything. hehe.,worry
7157,Sad! Casue everyone is going their seperate ways! Never going to see my friends again!,sadness
7158,@keylahtia yes I'm starting to feel the effects of humidity,worry
7159,annoyed and overwhelmed,worry
7160,I wish it would rain...but it won't,sadness
7161,@RetroRewind dave why why why can't this happen when I'm not working and can listen?! :::whining big time:::,sadness
7162,"@unmarketing Fun idea. But, if we saw how clothing would really look on the slouchy, would we buy? Think not.   People R buying the dream.",sadness
7163,Really sick,sadness
7164,never answer me back,worry
7165,@Alligood So sorry to hear about the kiddo!  Hope she feels lots better now that the cast is on,worry
7166,Potluck for danielle taking veggie tray. I will miss her,worry
7167,wow i just slept till 2pm..again... good job me,surprise
7168,Hes just not that into you,sadness
7169,"@CoachDeb I'm game, too bad your leaving HI!",worry
7171,@katie84 You don't get them anymore?,worry
7173,"California's budget deficit (now at $24.3 billion) means big problems and lots of cuts, including 220 of our state parks",worry
7174,"i burned my tongue!  @ workkkkkkkkkkkkkkkkk,",sadness
7175,@batxcore did you google it too? or maybe you actually knew the answer lol ps put uo the pics already from last night  im getting anxious,surprise
7176,"@KissofJudas  Lupo's is a bit far for you methinks, luv. They're an hour out of my way in Providence. I love Providence.",worry
7177,is soooo hungry right now! Why is it not lunch time!,sadness
7178,At pool in Orlando got new kicks  going to seaworld tommrow miss my best friend,sadness
7179,@btocher  http://bit.ly/TVERS - ever been here? the night we didnt meet  we ended up here - possibly the best pizza this side of Chicago!,happiness
7180,Being bored is always so much more fun with a companion. Missing my bff alreadyyyy!!!!,sadness
7181,"Yay, it's friday and boo i'm so broke i have no dosh",worry
7183,i made an okay rap mix   i couldnt have the stuff i wanted  im getting ready to leave,sadness
7184,jus skinned my knee. Wat am i 6!?!?! Hurts lyke hell tho. Its always tha little ones that hurt tha most.,sadness
7185,I am so sad... How come Pooch Hall from The Game has not accepted my friend request on Facebook Yet,sadness
7186,I just need to go to the bank,love
7187,"3 live p2v migrates, 5 vmware vsp exams, and a magento config, a quiet weekend at party central",happiness
7188,@isacullen i want more,happiness
7189,@onchmovement oh no your sick! I'm feeling kinda sick too  and I'm hating this overcast weather!,worry
7190,@evylove why no FF for me?,worry
7191,"@MamaGaea Sorry to hear about your dude probs, what is it that's too much?",worry
7192,Gonna have to have arthroscopy to repair my knee,worry
7193,"@melissa0616 yeah - stomach bug or something. Fever, etc. Not fun.",worry
7194,"I woke up an came to the realization that I can put it off as much as I want, but I need 2 drop some friends. Dammit!",sadness
7195,@PinkBerryGirl Aniya666 yours wasn't there,worry
7196,Another interview... Please somebody hire me?! But I'm late,worry
7197,"Sigh. My metal friends keep planning stuff on Sunday afternoons, when I'm at work. Feeling like I'm losing touch with them",worry
7198,@xchikax I wish.,surprise
7199,my life is sad..just had reminder go off on my phone to recharge toothbrush!,sadness
7200,Now I'm depressed again..ugh!!! HELP!!!,sadness
7202,"@DEWz_PingPong Oh, so no male strippers then?  LMAO",surprise
7203,the low point: a poor pigeon outside my building isn't capable of flying. It's just wandering up and down the sidewalk. so sad,worry
7204,@NETTUTS I can't wait that long,worry
7205,@jpaola no money no honey! hehe too soon  sorry,sadness
7207,@ShaniquaDenise You are sooo lucky. My fiance is away w/the Marine Corps...haven't even seen him yet!,sadness
7208,not looking forward to driving in this storm.,sadness
7209,"@JermSorensen yeah. She's screwed. $3000 in new tires, new turbo, and maint, paid it off, and now she'll get almost nothing.",surprise
7210,i don't like being sick when the guidance counsellor is supposed to take me + 35 other kids out of school for bowling &amp; pizza,sadness
7211,why did Reel big fish cover Edna's goldfish,worry
7212,is putting on her &quot;suit&quot; (&amp;dont mean jeans&amp;T)&amp;Heading over 2 T-town 2 deal w/ family emergency PLEZ PRAY 4Us  BE back by 630P God willing!,worry
7213,wow their is no pancake mix,surprise
7214,@xnicoleex_ yeah sorry i was busy last night  ill try and go next week!,sadness
7215,"@hank1914 Hey, that link didn't work for me",surprise
